1er arrondissement,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,7e arrondissement,8e arrondissement,9e arrondissement,10e arrondissement,11e arrondissement,12e arrondissement,13e arrondissement,14e arrondissement,15e arrondissement,16e arrondissement,17e arrondissement,18e arrondissement,19e arrondissement,20e arrondissement
2,2,5,3,10,5,5,4,10,12,23,21,28,20,38,13,23,30,36,36
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,8,12,15,9,16,14,13,20,30,30,44,26,40,37,37,45,54,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4,5,7,8,9,6,5,8,12,14,16,11,15,16,12,14,22,18
1,2,4,5,8,13,11,7,9,8,10,9,14,12,14,22,10,7,15,8
1,2,1,0,0,1,1,3,4,3,4,3,4,1,3,2,2,4,2,3
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,3,1,0,1,0,2,2,3,3,3,1,1,1,4,1
