NOM_LIEU,DEP,COMMUNE,CODE_INSEE,CODE_POSTAL,RAYONNEMENT,GPE_800M,GPE_STATION,GPE_LIGNE,CARTO_BIB,BIB_RECENT2000,BIB_OUV_DIM,BIB_SURFM2,BIB_GESTION,BIB_CODE_OBS_LIVRE,CARTO_CINEMA,CINE_TYPE,CINE_NBRE_ECRAN,CARTO_MUSEE,MUSEE_TYPE,CENTRE_INTERPRETATION,CARTO_EXPO,EXPO_TYPE,EXPO_TRAM,CARTO_PATRIMOINE,MAISON_ILLUSTRES,CARTO_SPECTACLE,SPECT_TYPE,RES_G20_T,RES_ACTES_IF,CARTO_ENSEIGNEMENT,ENS_SUP_CULTURE,CARTO_PRATIQUES_AMATEURS,PRATIQUES_AMATEURS,CARTO_FREQ,FREQ_2013,ARCHIVES,N_VOIE,C_SUF1,C_SUF2,C_SUF3,C_DESI,C_LIAISON,L_VOIE,N_SQ_EP,C_NIV1,C_NIV2,C_NIV3,COORD_X,COORD_Y
Acadmie de Danse Barbot Perrot - Danse,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,18.0,,,,RUE,DE,TOCQUEVILLE,753000955.0,13.0,132.0,13211.0,6496656055.0,6864963345.0
Acadmie de Guitare,75.0,Paris 13e Arrondissement,75113.0,75013.0,3.0,Oui,Maison Blanche - Paris XIIIe,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,11.0,,,,PAS,DU,MOULINET,753000741.0,13.0,132.0,13211.0,6525824279.0,6858678034.0
Association Cours Hippolyte,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,109.0,,,,RUE,,CARDINET,753000238.0,13.0,132.0,13211.0,6494943526.0,6865273196.0
Atelier d'Artistes,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,13.0,,,,106.0,,,,RUE,DES,DAMES,753000100.0,13.0,134.0,13413.0,6498859789.0,6864951506.0
Atelier de Recherche Chorgraphique - Danse,75.0,Paris 13e Arrondissement,75113.0,75013.0,3.0,Oui,Maison Blanche - Paris XIIIe,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,155.0,,,,AV,DE,CHOISY,753000625.0,13.0,132.0,13211.0,6528910986.0,6858846595.0
Atelier Terres des Batignolles,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,13.0,,,,14.0,,,,RUE,,JACQUEMONT,753000099.0,13.0,134.0,13413.0,6503240607.0,6865536629.0
Ateliers Beaux-Arts de la Ville de Paris,75.0,Paris 17e Arrondissement,75117.0,75017.0,2.0,Oui,Porte de Clichy,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,13.0,,,,28.0,,,,RUE,,GAUTHEY,752010632.0,13.0,134.0,13413.0,6502143981.0,6866017222.0
Ateliers Beaux-Arts de la Ville de Paris,75.0,Paris 17e Arrondissement,75117.0,75017.0,2.0,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,13.0,,,,28.0,,,,RUE,,GAUTHEY,752010632.0,13.0,134.0,13413.0,6502143981.0,6866017222.0
Bibliothque Municipale Colette Vivier,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Porte de Clichy,GPE - L14,Oui,0,Non,506.0,M,10226.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,RUE,,FOURNEYRON,752003387.0,13.0,131.0,13116.0,6501120972.0,6865745089.0
Bibliothque Municipale Colette Vivier,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Pont Cardinet,GPE - L14,Oui,0,Non,506.0,M,10226.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,RUE,,FOURNEYRON,752003387.0,13.0,131.0,13116.0,6501120972.0,6865745089.0
